TASK OVERVIEW TRAVIAN V4.6,,,,,,,,,,,F L A W L E S S,
Task,Rewards with hero bonus,,,,,Basic rewards without hero bonus,,,,,Hero level:,6
All Croplands to level 2,247,247,247,247,16,225,225,225,225,15,,
All Croplands to level 3,495,495,495,495,33,450,450,450,450,30,,
One Cropland to level 4,330,330,330,330,22,300,300,300,300,20,,
All Croplands to level 5,742,742,742,742,49,675,675,675,675,45,,
One Cropland to level 7,495,495,495,495,33,450,450,450,450,30,,
All Croplands to level 8,990,990,990,990,66,900,900,900,900,60,,
One Cropland to level 10,660,660,660,660,44,600,600,600,600,40,,
All Croplands to level 10,1237,1237,1237,1237,82,1125,1125,1125,1125,75,,
,,,,,,,,,,,,
Ressource fields combined,14684,14684,14684,14684,978,13350,13350,13350,13350,890,,
Even growth,824,824,824,824,54,750,750,750,750,50,,
One of all four resources to level 2,82,82,82,82,5,75,75,75,75,5,,
One of all four resources to level 4,165,165,165,165,11,150,150,150,150,10,,
One of all four resources to level 7,247,247,247,247,16,225,225,225,225,15,,
One of all four resources to level 10,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Complete economy,13860,13860,13860,13860,924,12600,12600,12600,12600,840,,
All resource fields to level 2,660,660,660,660,44,600,600,600,600,40,,
All resource fields to level 4,1320,1320,1320,1320,88,1200,1200,1200,1200,80,,
All resource fields to level 7,1980,1980,1980,1980,132,1800,1800,1800,1800,120,,
All resource fields to level 8,2640,2640,2640,2640,176,2400,2400,2400,2400,160,,
All resource fields to level 9,3300,3300,3300,3300,220,3000,3000,3000,3000,200,,
All resource fields to level 10,3960,3960,3960,3960,264,3600,3600,3600,3600,240,,
,,,,,,,,,,,,
Rally Point,990,990,990,990,66,900,900,900,900,60,,
Build Rally Point level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Rally Point to level 10,330,330,330,330,22,300,300,300,300,20,,
Upgrade Rally Point to level 20,495,495,495,495,33,450,450,450,450,30,,
,,,,,,,,,,,,
Warehouse,1236,1236,1236,1236,81,1125,1125,1125,1125,75,,
Build Warehouse level 1,82,82,82,82,5,75,75,75,75,5,,
Upgrade Warehouse to level 3,165,165,165,165,11,150,150,150,150,10,,
Upgrade Warehouse to level 7,247,247,247,247,16,225,225,225,225,15,,
Upgrade Warehouse to level 12,330,330,330,330,22,300,300,300,300,20,,
Upgrade Warehouse to level 20,412,412,412,412,27,375,375,375,375,25,,
,,,,,,,,,,,,
Granary,1236,1236,1236,1236,81,1125,1125,1125,1125,75,,
Build Granary level 1,82,82,82,82,5,75,75,75,75,5,,
Upgrade Granary to level 3,165,165,165,165,11,150,150,150,150,10,,
Upgrade Granary to level 7,247,247,247,247,16,225,225,225,225,15,,
Upgrade Granary to level 12,330,330,330,330,22,300,300,300,300,20,,
Upgrade Granary to level 20,412,412,412,412,27,375,375,375,375,25,,
,,,,,,,,,,,,
Barracks,1236,1236,1236,1236,81,1125,1125,1125,1125,75,,
Build Barracks level 1,82,82,82,82,5,75,75,75,75,5,,
Upgrade Barracks to level 3,165,165,165,165,11,150,150,150,150,10,,
Upgrade Barracks to level 7,247,247,247,247,16,225,225,225,225,15,,
Upgrade Barracks to level 12,330,330,330,330,22,300,300,300,300,20,,
Upgrade Barracks to level 20,412,412,412,412,27,375,375,375,375,25,,
,,,,,,,,,,,,
Stable,2475,2475,2475,2475,165,2250,2250,2250,2250,150,,
Build Stable level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Stable to level 3,330,330,330,330,22,300,300,300,300,20,,
Upgrade Stable to level 7,495,495,495,495,33,450,450,450,450,30,,
Upgrade Stable to level 12,660,660,660,660,44,600,600,600,600,40,,
Upgrade Stable to level 20,825,825,825,825,55,750,750,750,750,50,,
,,,,,,,,,,,,
Academy,990,990,990,990,66,900,900,900,900,60,,
Build Academy level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Academy to level 10,330,330,330,330,22,300,300,300,300,20,,
Upgrade Academy to level 20,495,495,495,495,33,450,450,450,450,30,,
,,,,,,,,,,,,
Smithy,990,990,990,990,66,900,900,900,900,60,,
Build Smithy level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Smithy to level 10,330,330,330,330,22,300,300,300,300,20,,
Upgrade Smithy to level 20,495,495,495,495,33,450,450,450,450,30,,
,,,,,,,,,,,,
Townhall,3960,3960,3960,3960,264,3600,3600,3600,3600,240,,
Build Townhall level 1,660,660,660,660,44,600,600,600,600,40,,
Upgrade Townhall to level 10,1320,1320,1320,1320,88,1200,1200,1200,1200,80,,
Upgrade Townhall to level 20,1980,1980,1980,1980,132,1800,1800,1800,1800,120,,
,,,,,,,,,,,,
Workshop,660,660,660,660,44,600,600,600,600,40,,
Build Workshop level 1,660,660,660,660,44,600,600,600,600,40,,
,,,,,,,,,,,,
Cranny,824,824,824,824,54,750,750,750,750,50,,
Build Cranny level 1,82,82,82,82,5,75,75,75,75,5,,
Upgrade Cranny to level 3,165,165,165,165,11,150,150,150,150,10,,
Upgrade Cranny to level 6,247,247,247,247,16,225,225,225,225,15,,
Upgrade Cranny to level 10,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Marketplace,2475,2475,2475,2475,165,2250,2250,2250,2250,150,,
Build Marketplace level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Marketplace to level 3,330,330,330,330,22,300,300,300,300,20,,
Upgrade Marketplace to level 7,495,495,495,495,33,450,450,450,450,30,,
Upgrade Marketplace to level 12,660,660,660,660,44,600,600,600,600,40,,
Upgrade Marketplace to level 20,825,825,825,825,55,750,750,750,750,50,,
,,,,,,,,,,,,
Embassy,330,330,330,330,22,300,300,300,300,20,,
Build Embassy level 1,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Residence / Palace / Command Center,4950,4950,4950,4950,330,4500,4500,4500,4500,300,,
Build Residence / Palace / Command Center level 1,330,330,330,330,22,300,300,300,300,20,,
Upgrade Residence / Palace / Command Center to level 3,660,660,660,660,44,600,600,600,600,40,,
Upgrade Residence / Palace / Command Center to level 7,990,990,990,990,66,900,900,900,900,60,,
Upgrade Residence / Palace / Command Center to level 10,1320,1320,1320,1320,88,1200,1200,1200,1200,80,,
Upgrade Residence / Palace / Command Center to level 20,1650,1650,1650,1650,110,1500,1500,1500,1500,100,,
,,,,,,,,,,,,
Citywall / Earthwall / Palisade / Stonewall / Makeshift Wall,2475,2475,2475,2475,165,2250,2250,2250,2250,150,,
Build Wall level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Wall to level 3,330,330,330,330,22,300,300,300,300,20,,
Upgrade Wall to level 7,495,495,495,495,33,450,450,450,450,30,,
Upgrade Wall to level 12,660,660,660,660,44,600,600,600,600,40,,
Upgrade Wall to level 20,825,825,825,825,55,750,750,750,750,50,,
,,,,,,,,,,,,
Sawmill,495,495,495,495,33,450,450,450,450,30,,
Build Sawmill level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Sawmill to level 5,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Brickyard,495,495,495,495,33,450,450,450,450,30,,
Build Brickyard level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Brickyard to level 5,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Iron Foundry,495,495,495,495,33,450,450,450,450,30,,
Build Iron Foundry level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Iron Foundry to level 5,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Grain Mill,495,495,495,495,33,450,450,450,450,30,,
Build Grain Mill level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Grain Mill to level 5,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Bakery,495,495,495,495,33,450,450,450,450,30,,
Build Bakery level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Bakery to level 5,330,330,330,330,22,300,300,300,300,20,,
,,,,,,,,,,,,
Celebration,660,660,660,660,44,600,600,600,600,40,,
Celebration,660,660,660,660,44,600,600,600,600,40,,
,,,,,,,,,,,,
Village Population,14848,14848,14848,14848,988,13500,13500,13500,13500,900,,
Reach 50 population,412,412,412,412,27,375,375,375,375,25,,
Reach 100 population,825,825,825,825,55,750,750,750,750,50,,
Reach 150 population,1237,1237,1237,1237,82,1125,1125,1125,1125,75,,
Reach 250 population,1650,1650,1650,1650,110,1500,1500,1500,1500,100,,
Reach 350 population,2062,2062,2062,2062,137,1875,1875,1875,1875,125,,
Reach 500 population,2475,2475,2475,2475,165,2250,2250,2250,2250,150,,
Reach 750 population,2887,2887,2887,2887,192,2625,2625,2625,2625,175,,
Reach 1000 population,3300,3300,3300,3300,220,3000,3000,3000,3000,200,,
,,,,,,,,,,,,
Village Culture Points,8661,8661,8661,8661,576,7875,7875,7875,7875,525,,
Reach 50 culture point production per day,412,412,412,412,27,375,375,375,375,25,,
Reach 100 culture point production per day,825,825,825,825,55,750,750,750,750,50,,
Reach 150 culture point production per day,1237,1237,1237,1237,82,1125,1125,1125,1125,75,,
Reach 250 culture point production per day,1650,1650,1650,1650,110,1500,1500,1500,1500,100,,
Reach 350 culture point production per day,2062,2062,2062,2062,137,1875,1875,1875,1875,125,,
Reach 500 culture point production per day,2475,2475,2475,2475,165,2250,2250,2250,2250,150,,
