category,task,wood,clay,iron,crop,xp,key
Sawmill,Upgrade Sawmill to level 5,300,300,300,300,20,TASK_GID5_5
Brickyard,Build Brickyard level 1,150,150,150,150,10,TASK_GID6_1
Brickyard,Upgrade Brickyard to level 5,300,300,300,300,20,TASK_GID6_5
Iron Foundry,Build Iron Foundry level 1,150,150,150,150,10,TASK_GID7_1
Iron Foundry,Upgrade Iron Foundry to level 5,300,300,300,300,20,TASK_GID7_5
Grain Mill,Build Grain Mill level 1,150,150,150,150,10,TASK_GID8_1
Grain Mill,Upgrade Grain Mill to level 5,300,300,300,300,20,TASK_GID8_5
Bakery,Build Bakery level 1,150,150,150,150,10,TASK_GID9_1
Bakery,Upgrade Bakery to level 5,300,300,300,300,20,TASK_GID9_5
Celebration,Celebration,600,600,600,600,40,TASK_Celebration
Village Population,Reach 50 population,375,375,375,375,25,TASK_VPOP_1
Village Population,Reach 100 population,750,750,750,750,50,TASK_VPOP_2
Village Population,Reach 150 population,1125,1125,1125,1125,75,TASK_VPOP_3
Village Population,Reach 250 population,1500,1500,1500,1500,100,TASK_VPOP_4
Village Population,Reach 350 population,1875,1875,1875,1875,125,TASK_VPOP_5
Village Population,Reach 500 population,2250,2250,2250,2250,150,TASK_VPOP_6
Village Population,Reach 750 population,2625,2625,2625,2625,175,TASK_VPOP_7
Village Population,Reach 1000 population,3000,3000,3000,3000,200,TASK_VPOP_8
Village Culture Points,Reach 50 culture point production per day,375,375,375,375,25,TASK_VCP_1
Village Culture Points,Reach 100 culture point production per day,750,750,750,750,50,TASK_VCP_2
Village Culture Points,Reach 150 culture point production per day,1125,1125,1125,1125,75,TASK_VCP_3
Village Culture Points,Reach 250 culture point production per day,1500,1500,1500,1500,100,TASK_VCP_4
Village Culture Points,Reach 350 culture point production per day,1875,1875,1875,1875,125,TASK_VCP_5
Village Culture Points,Reach 500 culture point production per day,2250,2250,2250,2250,150,TASK_VCP_6
